"unique_ID","boot","S","sPIE","s_N","Nind","biomass","shrimp_bio","flounder_bio","tempS","tempB","salS","salB"
"2169 _ b","1",51,8.95111367699643,38.6907112473051,3669,236.804,29.413,0,23.96,23.432,28.2628,31.8174
"2170 _ b","1",49,4.05763791670485,41.711935812544,1603,186.711,8.632,0.773,24.792,24.504,32.3604,33.5904
"2120 _ b","1",45,6.43467877879753,43.2861074642345,1049,62.638,0.783,0.385,24.252,23.564,32.1914,33.2934
"1246 _ b","1",49,3.21185933610387,25.7219140305091,36619,3016.309,10.206,2.217,20.888,19.87,32.653,34.0172
"1340 _ b","1",62,3.53199766210677,31.6013869751608,15644,1047.271,8.493,4.457,24.066,23.648,35.6778,35.8758
"1294 _ b","1",58,6.37334999375488,42.90563464263,5011,589.673,0.254,3.527,22.72,21.35,33.906,34.7906
"1777 _ c","1",55,1.87419856239051,31.1634566140328,14501,1232.748,17.534,1.514,21.872,21.528,32.4962,33.0442
"1778 _ c","1",55,2.74302372764936,36.1469761849815,4902,102.751,8.639,0.772,23.618,23.642,32.0602,33.1376
"1536 _ c","1",55,3.20247571771681,30.4214375038579,7551,614.377,0.611,0.36,22.504,22.372,34.9584,35.0992
"1586 _ c","1",NA,10.8255941594647,43.1254134712148,2731,225.545,1.158,4.378,22.948,20.8625,33.2574,34.16125
"1534 _ c","1",55,2.23258973758232,33.3069227662291,10965,2770.633,4.239,1.673,23.326,22.784,33.3684,34.1602
"1532 _ c","1",42,4.34242761158324,35.6196342686901,3560,806.368,0.539,1.684,23.262,22,34.2304,34.4446
"1582 _ c","1",51,8.29648906337633,42.1908767975596,2433,160.563,1.27,0.455,22.852,21.782,34.239,34.4414
"1630 _ c","1",50,4.97660081101471,45.6858489011586,1300,269.843,0.121,1.022,23.322,22.656,33.9484,34.1538
"1680 _ c","1",54,6.88203419582355,37.0046590330011,3617,155.027,14.55,0,22.562,22.21,32.9232,33.9514
"1730 _ c","1",35,2.72563431291815,32.6720445431922,1154,93.4,8.153,0,26.986,26.322,34.2118,35.0212
"1486 _ c","1",59,6.93092905921423,31.8007546546801,8876,544.71,13.26,0.847,20.124,19.678,33.7932,34.745
"1340 _ c","1",65,9.30506224173231,44.588633887403,7412,363.997,21.322,3.826,23.22,22.796,34.0348,34.333
"1246 _ c","1",57,5.34825204791482,26.6989722724028,16351,1031.569,5.18,1.902,20.314,20.156,33.7176,34.4732
"1294 _ c","1",57,6.09218840903614,37.9713143614044,4570,293.993,3.019,2.952,22.1,22.074,32.9242,34.0158
"2022 _ c","1",40,8.89833869475169,42.9324192049815,636,66.93,0,0.317,22.852,22.744,32.1544,33.0122
"2021 _ c","1",44,4.29328397047802,29.9786603051147,4278,114.659,1.824,0.048,23.696,23.556,32.0678,32.9584
"2120 _ c","1",33,6.24409448818897,40.1466629290022,611,499.645,0,0.166,22.74,21.946,31.8862,32.7472
"2419 _ c","1",58,2.91413318106356,24.1619898343628,34928,2397.469,21.061,0.76,24.74,24.316,33.93,34.4278
"2519 _ c","1",58,9.34693278544173,41.7024369217654,4246,367.587,13.008,0.419,25.88,25.338,35.1072,35.151
"2569 _ c","1",61,6.19267817739393,37.1374632924896,6104,318.523,36.915,0.662,25.916,25.45,34.7398,34.6864
"2771 _ c","1",34,9.12127107652399,45.4741227190036,291,56.746,0.013,0.427,25.05,24.85,35.8056,35.8554
"2721 _ c","1",53,6.8608111926714,36.7272775175262,4570,222.113,3.242,0.193,22.956,22.482,35.4172,35.4202
"2670 _ c","1",45,1.58642570220114,22.1724681778588,10581,1182.358,0.58,0.159,25.898,24.98,35.5018,35.684
"2169 _ c","1",46,2.12695309341062,27.6154436116677,5780,305.135,3.599,0.18,22.12,21.814,31.8752,32.5562
"2170 _ c","1",29,5.51294228345199,27.4293660069206,1115,71.906,0.02,0.318,22.668,22.324,32.343,32.664
"2219 _ c","1",49,2.62644517675428,33.957829053635,2693,57.299,0.184,0.117,24.458,24.212,33.3438,33.5362
"2269 _ c","1",37,6.25787487820668,30.6797851086415,1957,100.207,8.556,1.489,27.18,26.976,33.9606,34.2
"2319 _ c","1",37,4.34067045794672,28.9143585196884,2409,44.608,12.28,0,23.004,22.776,32.7272,33.3786
"2318 _ c","1",51,8.01205529907472,36.4257204608138,3741,121.683,12.402,0.402,23.82,23.284,33.4424,33.9962
"1972 _ c","1",47,10.7416529238422,38.5410419382216,2359,225.045,1.493,1.068,23.094,22.694,31.014,32.1016
"1973 _ c","1",34,4.72514416160854,28.8488718599976,1519,56.108,0.146,0.125,24.642,24.374,33.0962,33.4212
"1923 _ c","1",43,9.25134219327583,35.1236855356709,2051,62.386,6.362,0.608,22.722,22.278,32.1244,32.5134
"1924 _ c","1",43,5.52595617905095,31.846906100322,2887,287.72,2.852,0.529,25.394,25.358,33.516,33.7562
"1875 _ c","1",44,7.18843099556968,34.7851247705998,2272,77.149,13.081,0.889,25.484,24.814,32.492,32.862
"1826 _ c","1",46,6.5129184796289,35.3309436899633,2949,165.044,13.112,0.089,24.426,23.976,32.4908,32.9058
"2620 _ c","1",55,7.89794293424494,38.1527396395467,4459,357.103,7.435,0.123,25.398,24.744,35.4918,35.5336
"1777 _ d","1",52,7.6626834886587,36.1747273277465,4806,232.588,17.985,0.235,26.588,25.966,33.0506,34.2988
"1680 _ d","1",51,5.00679847579851,38.0648113868423,3185,611.878,1.308,0.055,22.91,22.8,33.5582,34.41
"1630 _ d","1",44,5.71142453245391,31.0267765405916,4111,346.885,6.669,0,20.892,20.81,34.0892,34.1126
"1586 _ d","1",46,7.33604567611131,40.0163551153557,1506,840.638,2.161,0.417,23.286,23.12,34.8094,34.8554
"1536 _ d","1",50,4.51140215709599,28.9053319997443,7782,634.252,0.291,0.995,22.374,22.274,34.7086,34.958
"1486 _ d","1",48,5.48934816630133,26.7572474563991,16654,1312.149,5.79,1.345,22.658,22.178,34.4348,34.6238
"1534 _ d","1",53,3.40857839445119,30.3064959469978,12521,787.019,1.496,1.341,21.784,20.766,33.1462,33.7484
"1532 _ d","1",60,3.59666806460442,37.1594676580185,8675,544.698,14.71,1.083,23.006,22.576,32.6652,33.8546
"2319 _ d","1",52,4.52092415815328,34.7064043651295,3984,100.132,43.968,0,25.148,24.274,34.6008,34.9066
"2771 _ d","1",60,12.7190085057516,42.9813932375517,4278,426.198,1.797,0.634,24.798,24.208,35.7888,35.8476
"2721 _ d","1",56,2.03547249671787,29.7965140434097,6137,159.83,0.205,0,24.39,24.152,34.64,34.8606
"2670 _ d","1",59,6.51872416831466,41.9298636029715,5007,185.507,3.379,0.455,25.198,24.578,35.2406,35.468
"2620 _ d","1",56,4.64828954504207,36.2568601340001,5885,193.308,2.206,1.486,25.952,25.362,34.9764,35.0558
"2569 _ d","1",45,6.62318612547774,36.4301613150768,1616,83.527,3.582,0,24.192,23.948,34.1164,34.1452
"2519 _ d","1",51,8.81792437741672,36.494513491197,3873,200.089,18.627,0.64,24.102,23.692,34.6892,34.77
"1875 _ d","1",48,8.61057478221646,29.5277440451843,5461,93.177,41.684,2.035,22.322,21.908,32.3794,32.873
"1826 _ d","1",48,4.67054439431899,37.2106892718094,2934,52.502,15.116,1.86,21.942,21.816,32.5392,33.0942
"2022 _ d","1",52,8.30694116586572,38.5539166475276,3435,192.232,17.862,0.957,22.212,22.116,31.4896,32.3154
"2021 _ d","1",48,10.4576229416377,40.0297410699919,2161,77.46,8.198,0.738,25.85,25.446,33.2672,33.8334
"2120 _ d","1",47,3.2412010223823,33.4676422431879,2904,180.927,10.122,0.729,27.82,27.266,33.8614,34.0364
"2170 _ d","1",46,8.63745269562779,41.3134256952619,1448,161.422,23.776,0,22.262,21.992,32.6838,32.832
"2169 _ d","1",57,8.17009296460306,41.7307098975635,4353,128.324,12.668,0.843,23.57,23.204,29.4082,32.6504
"1973 _ d","1",40,2.67529127051775,26.9858423101692,3423,86.075,0.342,1.177,24.086,23.952,33.0064,33.2992
"1923 _ d","1",39,14.5193023453033,36.8635320610007,1756,203.388,20.487,0,21.27,21.142,31.602,31.933
"1924 _ d","1",40,2.78611203931014,36.7415809503317,1699,70.03,6.058,0.436,23.428,23.09,32.2712,32.8068
"1582 _ d","1",52,9.65611877128592,40.0911946898832,2756,591.962,0.041,1.852,19.772,19.7,34.265,34.2984
"1246 _ d","1",57,3.39775587538529,31.971481832069,15780,1107.776,34.533,0.642,22.188,22.09,33.2362,34.0656
"1294 _ d","1",61,5.54085271875286,38.7211820344374,7164,379.756,10.956,2.271,23.672,22.874,35.0746,35.3038
"1340 _ d","1",55,6.91045412633584,43.7280264703731,3924,168.184,21.764,3.383,23.194,22.782,34.8504,34.9606
"1730 _ d","1",36,6.44584903537882,35.2572278842847,958,122.146,3.44,0.66,23.31,22.41,33.616,34.8152
"1778 _ d","1",51,4.19131819736403,35.8423130442828,4089,351.635,18.684,2.333,22.618,21.866,32.9016,33.1912
"2318 _ d","1",46,3.53363303291245,29.8436371056416,6129,203.049,13.98,0.682,25.67,25.028,33.9954,34.2546
"2269 _ d","1",54,4.51043662088196,34.1861495182418,5420,178.183,21.322,0.13,24.598,24.04,34.0844,34.4734
"2219 _ d","1",50,5.83587551859507,37.4618437773146,4041,154.352,21.363,0.93,24.386,23.864,33.5946,33.668
"2419 _ d","1",50,4.48274754112919,25.0302198484024,27722,2364.209,31.594,0.183,25.71,24.906,35.1308,35.3554
"1972 _ d","1",49,7.50740958893502,38.9754703912133,2530,335.442,22.697,1.544,23.398,23.32,32.8798,33.2658
"1875 _ e","1",NA,8.85676744917837,33.4922548030003,4704,160.531,7.963,1.841,21.7325,21.77,32.7805,33.92
"1923 _ e","1",NA,3.63429260757121,34.3598169351817,2746,508.207,6.37,2.405,20.1375,20.0325,34.551,34.79875
"1973 _ e","1",30,4.45531653120573,28.0947477668415,1198,52.264,0.13,0.246,22.744,22.472,34.7532,34.9594
"1972 _ e","1",43,4.61306356382322,38.8356270397064,1367,209.321,0,1.49,26.572,26.528,33.7656,34.1732
"2022 _ e","1",37,10.2034475744941,40.299238794118,634,85.938,0.189,1.536,22.14,21.838,33.4644,34.0414
"2419 _ e","1",51,10.6081277563895,36.6676050994451,4192,183.988,1.086,1.601,22.992,22.8,33.6372,34.2976
"2519 _ e","1",44,3.04022691398649,32.7701190902152,5397,284.419,12.125,0.411,23.682,23.334,33.55,33.9438
"2569 _ e","1",37,5.04008637859823,31.785268168865,2686,238.486,1.786,0,25.366,24.826,35.6344,35.6408
"2620 _ e","1",50,6.35045990894732,35.722107304799,4101,280.49,1.85,0,24.922,24.412,35.794,35.7832
"2169 _ e","1",44,5.33445261875332,35.9866409084853,2201,184.769,1.45,0.165,23.154,22.874,33.5852,34.2648
"2170 _ e","1",50,13.5920552331399,47.4456869475133,1166,179.316,9.4,0.575,24.076,22.586,31.7036,34.5068
"2120 _ e","1",51,6.13182168555612,43.0323253073714,1824,129.767,3.295,0.802,24.104,23.74,34.2822,34.6486
"1826 _ e","1",NA,1.67386356068469,24.0783818532273,16735,580.671,19.028,0.967,18.5775,18.4275,33.36775,33.88825
"2670 _ e","1",39,4.94195172122451,26.70443111552,9778,754.809,6.002,0.16,24.45,23.946,35.2014,35.2402
"2721 _ e","1",43,5.55100195683734,32.6759169524106,3269,377.388,0.064,0.3,25.666,25.34,34.9582,35.1548
"2771 _ e","1",43,1.53183868577227,25.4217700882658,8898,314.17,0.644,0.746,25.448,25.084,35.724,35.8248
"2319 _ e","1",54,6.54865288328942,41.7885755626763,2820,204.556,12.438,0.624,26.286,25.81,34.078,34.2226
"2318 _ e","1",49,3.297448186112,34.2583579892872,4836,216.419,14.332,0.198,22.818,22.342,35.3018,35.3998
"2269 _ e","1",46,7.19353547394219,40.1245234211118,1799,97.146,3.806,0,22.644,22.33,33.279,33.3172
"2219 _ e","1",41,5.99122639853753,29.7014615507996,3989,193.572,14.607,0.354,22.042,21.686,30.524,31.0794
"2021 _ e","1",38,5.49347796797663,33.1829044899971,2490,101.771,15.616,0.309,23.578,23.424,34.5096,34.8452
"1246 _ e","1",49,2.75837847651404,28.4138509760103,9370,1130.711,0.066,5.334,19.72,19.816,31.2872,34.079
"1294 _ e","1",51,3.61137969085529,29.1342702305786,6449,549.391,0.475,0.57,20.774,19.716,33.03,34.9544
"1340 _ e","1",61,6.66917433811783,40.4273907110173,8770,565.029,21.489,2.914,22.674,21.86,35.2462,35.5882
"1730 _ e","1",43,7.23191280753357,39.2722973601107,1380,96.721,7.144,0.26,21.92,21.922,35.1686,35.168
"1778 _ e","1",41,7.0676903330131,32.3231379855636,3819,360.344,2.713,5.705,25.9,25.246,34.6044,34.916
"1777 _ e","1",48,6.21397018909943,36.434480301648,7133,430.249,12.97,0.934,25.506,24.836,33.0796,33.5926
"1680 _ e","1",49,10.456055802156,38.4025149080633,3172,299.894,0.031,0.38,22.748,21.93,35.0994,35.2636
"1630 _ e","1",48,2.60241027328384,26.9257398420721,6279,153.777,0.191,0.306,22.326,22.148,34.6058,34.7166
"1582 _ e","1",43,8.53835462791377,39.1500629540243,1450,132.96,0.263,2.548,24.032,23.134,35.2318,35.7518
"1532 _ e","1",49,5.57235831779602,32.6827652297464,6140,476.152,0.346,0.549,21.262,21.004,34.3972,34.852
"1536 _ e","1",50,4.12173986345672,30.1924808014918,8906,1349.305,1.77,1.811,21.6,21.126,34.6796,35.1694
"1534 _ e","1",46,3.76907229864716,29.2442728436184,14462,1947.19,0.363,2.693,21.474,21.088,34.8684,35.3044
"1486 _ e","1",50,3.1880795151412,28.6918962989472,15154,1212.962,7.618,1.161,22.624,21.976,34.6586,35.3794
"1586 _ e","1",43,6.60308098603902,28.3064716184605,5314,298.484,2.367,3.256,24.914,23.766,34.9992,35.6528
"1924 _ e","1",NA,3.00251722045838,28.2254375620351,6602,268.628,4.121,0.848,24.8,24.55,33.966,33.64425
"1586 _ f","1",34,2.8841918552539,26.8070969562859,3867,395.986,0,0.716,19.25,18.974,34.4164,34.4656
"1536 _ f","1",48,4.91169427987198,33.5756489489121,12260,826.444,31.82,21.746,23.826,23.398,34.8402,35.034
"1246 _ f","1",33,5.99524961755108,24.701872863346,17323,1681.675,23.527,2.134,22.078,21.876,33.4226,34.795
"1294 _ f","1",40,4.772695928913,25.1065653903823,40824,2775.154,14.154,36.98,24.492,24.286,35.0618,35.2014
"1340 _ f","1",48,8.1320553024217,35.5224409146549,9042,489.732,38.595,0.986,23.644,23.136,34.4096,34.5294
"1486 _ f","1",NA,5.8227962542089,38.7929510646332,7442,552.249,58.965,12.356,25.1033333333333,24.95,33.4816666666667,35.071
"1534 _ f","1",NA,2.79616986477099,28.6152798775626,12836,649.837,23.959,0.666,22.8325,22.9325,32.3725,33.73725
"1582 _ f","1",44,3.02332186990854,32.6825057659748,8396,477.031,8.304,0.512,22.814,22.026,33.2282,33.8476
"1680 _ f","1",55,6.49996751156293,49.4062536071759,1484,443.749,0.058,0.361,22.802,22.198,34.5568,34.6244
"1730 _ f","1",44,4.90777361409221,34.5428416221164,3410,222.309,1.09,2.711,22.074,21.394,33.719,34.7026
"1923 _ f","1",40,2.67456269583139,31.6239717900094,3987,175.249,15.125,2.475,24.844,24.798,34.5502,34.6084
"1973 _ f","1",43,2.65696286411953,32.6103303873898,2420,125.45,0.212,0.37,24.912,24.496,33.7522,34.289
"1972 _ f","1",47,2.57067953214544,26.883642529351,15658,1614.533,0.056,2.355,23.272,23.14,33.7652,34.0524
"2022 _ f","1",46,6.59542513863216,38.4454431025169,2596,181.167,0.919,0.29,24.354,23.544,31.0004,32.8012
"2021 _ f","1",42,6.10255484849174,29.168219294582,6510,387.464,4.638,0.263,25.804,25.544,33.7198,34.1774
"2519 _ f","1",45,8.94709756471129,31.8448139801088,11841,705.741,77.5,0.515,26.796,26.3,35.2192,35.7852
"2569 _ f","1",44,4.43152827731628,28.191004382346,19308,1104.846,11.088,0,25.192,24.906,34.8088,35.4792
"2620 _ f","1",44,3.21832125382854,29.249704589527,9196,475.348,3.487,0,26.588,26.32,35.0708,35.5808
"2670 _ f","1",NA,2.90270203380005,30.1909011218635,4549,132.179,19.009,0,26.3033333333333,26.08,33.9106666666667,33.876
"2771 _ f","1",42,8.53904575610072,30.5100624124397,9390,680.74,6.216,5.081,24.524,23.646,35.675,35.79
"2721 _ f","1",46,11.7276391793991,39.0286040030999,3681,242.163,4.451,3.595,24.56,24.16,35.361,35.3418
"2419 _ f","1",48,7.84790569113374,39.5765338913905,4076,195.437,32.128,0,21.79,21.664,33.5264,34.175
"2319 _ f","1",54,6.17588200896628,40.3185104757803,4404,805.125,9.609,2.101,23.598,22.658,34.0294,34.4006
"2318 _ f","1",48,3.16084323677478,33.2993023822238,5424,538.333,16.601,0.198,24.372,24.086,33.7218,33.933
"2269 _ f","1",49,6.39015832696123,39.0540999382749,3960,220.859,24.499,1.068,24.74,23.906,33.9866,34.5094
"1875 _ f","1",48,6.26795417794982,37.4463590185712,4331,176.369,8.709,1.148,25.76,25.434,34.0864,34.2824
"1777 _ f","1",48,10.7480915609284,40.3421878775047,3419,184.85,3.183,0.678,23.768,23.466,34.306,34.5804
"1778 _ f","1",39,5.75027460664965,34.8007811776959,1743,224.301,0.349,2.377,19.86,19.864,32.9262,33.2786
"1826 _ f","1",55,4.14876717001414,37.2997424658598,7306,401.811,2.108,0.692,23.734,23.322,34.1854,34.4048
"2219 _ f","1",49,7.41740472525716,36.4873405446656,5635,293.555,41.784,0,22.298,22.306,34.115,34.3586
"2169 _ f","1",NA,3.85758884400386,39.7198145684788,3130,169.326,11.494,0.575,24.8575,24.1675,32.72825,33.93225
"2170 _ f","1",47,5.37309760815982,37.2532626830954,4052,178.781,1.677,0.122,25.444,25.18,32.925,33.9686
"2120 _ f","1",36,5.64163961116333,30.315720891487,3441,288.239,8.283,0.432,24.192,24.106,32.4986,32.73
"1532 _ f","1",49,3.66009709509096,30.8171167432567,9489,319.247,4.806,0.821,20.64,20.148,34.3152,34.501
"1630 _ f","1",46,5.90456248018568,38.4851879193271,2457,309.168,0,0.915,22.934,22.326,34.245,34.628
"1924 _ f","1",40,12.0359441306242,39.6202635325795,926,60.02,0.267,1.18,21.642,21.38,33.2356,33.4996
"1826 _ g","1",47,8.44333464500254,34.7786780024418,3683,149.163,9.904,1.029,26.518,26.018,33.7554,34.1256
"1875 _ g","1",48,2.27990365624858,29.3214274740354,10782,663.035,10.762,0.721,22.394,21.692,34.3854,34.6326
"2269 _ g","1",43,5.70294060591883,27.1552405863401,8227,420.541,36.301,0.234,22.464,22.362,34.3564,34.3074
"2319 _ g","1",42,2.63083626905795,31.0463788293357,6161,141.824,31.651,0.117,26.026,25.778,35.1726,35.2918
"2318 _ g","1",41,1.78242481050054,23.318996877439,17069,254.586,18.521,0.072,27.122,26.308,35.229,35.3456
"2419 _ g","1",35,2.43011018002364,22.5079454545102,21482,476.78,25.563,0,24.654,24.328,33.1156,34.0066
"2519 _ g","1",46,1.55518844857886,22.4141607927828,41244,460.685,25.827,0,23.706,23.168,35.8668,35.8356
"2771 _ g","1",42,5.33947703451272,29.0189784087584,13037,774.929,7.135,0.655,24.084,23.416,35.9696,36.0002
"2721 _ g","1",45,1.3650152865399,22.367690684707,17274,312.578,9.576,1.762,23.424,22.936,35.9646,35.9824
"2670 _ g","1",42,1.30173012269205,17.8547300946535,43188,962.966,2.676,0.091,26.422,25.854,36.064,36.04
"2620 _ g","1",40,1.37793690758871,20.8936318447612,35477,622.394,9.867,0,24.518,23.992,35.8364,35.8764
"2569 _ g","1",40,2.08590967022083,21.4606453617701,35530,466.364,6.828,3.367,24.532,24,35.3436,35.4276
"2219 _ g","1",44,2.03414233371908,21.3339575011738,22443,284.548,20.892,0.389,24.158,23.818,34.1368,34.392
"2169 _ g","1",44,4.35861961453859,28.9440424233544,5917,176.455,8.043,0.248,24.562,23.602,32.0218,34.1902
